file,issue,severity,remediation,est_hours,verify_test,status,notes
aegis/.git/hooks/applypatch-msg.sample,unsafe_pattern:python_eval_exec token:exec,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git sample hook; not part of shipped code
aegis/.git/hooks/fsmonitor-watchman.sample,unsafe_pattern:python_eval_exec token:eval,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git sample hook; not part of shipped code
aegis/.git/hooks/post-update.sample,unsafe_pattern:python_eval_exec token:exec,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git sample hook; not part of shipped code
aegis/.git/hooks/pre-applypatch.sample,unsafe_pattern:python_eval_exec token:exec,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git sample hook; not part of shipped code
aegis/.git/hooks/pre-commit.sample,unsafe_pattern:python_eval_exec token:exec,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git sample hook; not part of shipped code
aegis/.git/hooks/pre-merge-commit.sample,unsafe_pattern:python_eval_exec token:exec,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git sample hook; not part of shipped code
aegis/.git/hooks/pre-receive.sample,unsafe_pattern:python_eval_exec token:eval,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git sample hook; not part of shipped code
aegis/.git/objects/98/c60983f408ba03659182823eec40d65d1e0a56,unsafe_pattern:python_eval_exec token:exec,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Closed,Git object storage; ignore from code scans
aegis/Cargo.lock,secret_pattern:hex_key_64,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/README.md,secret_pattern:jwt_secret_like,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/WASM_USAGE_GUIDE.md,secret_pattern:jwt_secret_like,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/aegis_crypto_core/Cargo.lock,secret_pattern:hex_key_64,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/aegis_crypto_core/README.md,secret_pattern:jwt_secret_like,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/aegis_crypto_core/pkg/README.md,secret_pattern:jwt_secret_like,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/aegis_crypto_core/pkg/aegis_crypto_core.d.ts,secret_pattern:jwt_secret_like,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/aegis_crypto_core/pkg/aegis_crypto_core.js,unsafe_pattern:python_eval_exec token:exec,High,Remove/replace eval/exec; use safe parsing or sandboxed templates; validate inputs.,3,Run semgrep to ensure no eval/exec; add unit tests for parsing.,Accepted,Generated by wasm-bindgen; monitor and consider build-time hardening
aegis/aegis_crypto_core/src/bin/financial_security.rs,secret_pattern:jwt_secret_like,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
aegis/aegis_crypto_core/src/bin/iot_security.rs,secret_pattern:jwt_secret_like,High,"Remove secret, rotate credentials, purge git history, add secret scanning to CI",1,Confirm secret removed and rotated; run git-secrets scan; validate no occurrences in repo history,Closed,Reviewed; no secrets present (false positive)
